Year,Quarter,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2021,Q2,0.01734375,0.02046875,0.02515625,,0.04171875,0.059687500000000004,0.17421875,0.3540625,0.840625,1.27328125,1.59078125,2.16734375,2.25796875
2021,Q3,0.048125,0.051875000000000004,0.0496875,,0.05375,0.07546875,0.22578125000000002,0.43125,0.7996875,1.0990625,1.32484375,1.8571875,1.93140625
2021,Q4,0.054354838709677424,0.05790322580645161,0.05419354838709677,,0.095,0.20032258064516129,0.5317741935483871,0.8185483870967742,1.1809677419354838,1.4146774193548386,1.5333870967741934,1.965,1.9443548387096774
2022,Q1,0.09322580645161291,0.18629032258064518,0.3093548387096774,,0.6180645161290322,0.9803225806451613,1.464516129032258,1.6825806451612901,1.8338709677419356,1.933548387096774,1.9511290322580646,2.334032258064516,2.258387096774194
2022,Q2,0.6538709677419354,0.917258064516129,1.1037096774193549,,1.6466129032258066,2.204354838709677,2.7204838709677417,2.8891935483870967,2.95,2.9772580645161293,2.9325806451612904,3.2470967741935484,3.0448387096774194
2022,Q3,2.25375,2.55765625,2.7534375,,3.246875,3.39765625,3.3821875,3.37921875,3.22703125,3.19109375,3.10109375,3.5034375,3.26171875
2022,Q4,3.699344262295082,4.002459016393443,4.187377049180328,4.4716,4.545081967213115,4.613606557377049,4.387377049180328,4.250327868852459,3.9954098360655736,3.927704918032787,3.82672131147541,4.117049180327869,3.895409836065574
2023,Q1,4.546612903225806,4.679032258064517,4.7817741935483875,4.8714516129032255,4.9235483870967744,4.759354838709677,4.342741935483871,4.075322580645161,3.801612903225806,3.7404838709677417,3.646290322580645,3.8998387096774194,3.7461290322580645
2023,Q2,4.975714285714285,5.158888888888889,5.26952380952381,5.304603174603175,5.2306349206349205,4.948730158730158,4.264285714285714,3.949365079365079,3.6934920634920636,3.6471428571428572,3.5957142857142856,3.9387301587301584,3.805238095238095
2023,Q3,5.485714285714286,5.531111111111111,5.535555555555556,5.558888888888888,5.528095238095238,5.39,4.916666666666667,4.5993650793650795,4.311428571428571,4.247936507936508,4.14968253968254,4.421428571428572,4.239365079365079
2023,Q4,5.548387096774194,5.55241935483871,5.524516129032258,5.517741935483872,5.449193548387097,5.2259677419354835,4.807903225806451,4.58,4.427741935483871,4.468870967741935,4.4470967741935485,4.771129032258065,4.590806451612903
2024,Q1,5.51327868852459,5.4860655737704915,5.454262295081967,5.411475409836066,5.28311475409836,4.8999999999999995,4.482295081967213,4.267704918032787,4.121967213114754,4.148688524590164,4.15639344262295,4.447704918032787,4.330491803278689
2024,Q2,5.482063492063492,5.481746031746032,5.466507936507936,5.4628571428571435,5.391269841269841,5.1361904761904755,4.826190476190477,4.62952380952381,4.464285714285714,4.4569841269841275,4.448730158730158,4.679682539682539,4.58079365079365
2024,Q3,5.475,5.512,5.455,5.442,5.314,4.984,4.607,4.385,4.245,4.257,4.3020000000000005,4.599,4.492
